author,published_at,updated_at,like_count,text
@arsakib8186,2023-07-11T13:58:09Z,2023-07-11T13:58:09Z,0,"I am using HP Envy 15x360 2 in 1 laptop.When I shutdown my laptop then my laptop power light goes off,after 3 or 4 seconds the charging light also goes off then I can&#39;t turn on my laptop.If I unplug the charger cable and plug it again the charger light is not on.I can&#39;t turn on my laptop even if the laptop is unpluged.After a long time when I plug the charging port again then the charging light is on then I can turn on my laptop but after shutdown the charging light goes of again and i can&#39;t turn it on.Pls help me to recover the problem."
@joaquimcosta952,2023-07-11T01:34:19Z,2023-07-11T01:34:19Z,0,Amazing ...
@ericssontest2332,2023-07-10T21:38:20Z,2023-07-10T21:38:20Z,0,….
@AJ-et3vf,2023-07-10T12:40:39Z,2023-07-10T12:40:39Z,0,Great video. Thank you
@johnwilson7845,2023-07-10T12:24:20Z,2023-07-10T12:24:20Z,3,Fantastic video!  Can’t wait to the view the one on custom data types. Thank you
@hadiasghari2297,2023-07-10T02:44:43Z,2023-07-10T02:44:43Z,0,ممنونم از به اشتراك گذاشتن اطلاعاتتون
@omidshirazi4166,2023-07-09T23:13:36Z,2023-07-09T23:13:36Z,0,"Hi Leila you are awesome ❤and I have a problem with this , I&#39;m not able to find data type although I check data menu and my office is 2021"
@yachid_6516,2023-07-09T16:56:39Z,2023-07-09T16:56:39Z,1,"hey Leila~,<br>Not sure how I got unSub~d, <br>sure glad I had U in my e-mail"
@enocharthur4322,2023-07-09T11:18:36Z,2023-07-09T11:18:36Z,0,How do you make tutorials on features we don&#39;t yet have?
@FarhanMerchant,2023-07-09T10:13:32Z,2023-07-09T10:13:32Z,0,"An amazing insight; I&#39;m not sure if i will be using this feature, but you&#39;ve done a great job. I have noticed you have switched your laptop from Surface to hp."
@JakeSmith-jy1kx,2023-07-09T01:24:36Z,2023-07-09T01:24:36Z,0,Those salaries!
@garys2187,2023-07-08T19:56:56Z,2023-07-08T19:56:56Z,0,Thank you for this video.  I have traveling and this was one of the first things I looked at.  I always enjoy and learn something from your videos.  I can&#39;t wait until it rolls out to me.
@Moker2012,2023-07-08T19:31:12Z,2023-07-08T19:31:12Z,0,"I truly like all these ideas and suggestions from Leila, but I constantly run into issues when applying them in to a large corporate environment. Linking data via SharePoint gives enough trouble. But pivoting tables and images across multiple data sources and servers (SharePoint, which which are accessibly to everyone within the target audience)  always gives an error message like: &quot;This is not possible&quot;. Makes me feel like being back in 1998, which is also worth something."
@mrjaydp123,2023-07-08T19:20:31Z,2023-07-08T19:20:31Z,0,"Hi. Im hoping if you can help pls. Having issues with conditional format<br><br>A1 = NOW(). example result <a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=660"">11:00</a><br>B1 = <a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=420"">7:00</a>. On time format<br>Conditiinal format formula is highlight if a1 &gt; b1.<br><br>May i ask why its not highlighting when the statement is true?"
@user-gm5dc4mt6t,2023-07-08T15:15:14Z,2023-07-08T15:15:14Z,2,"Hi Leila, that&#39;s amazing, I have an issue: the Geography was not copied on pivot table. How can I fix it?"
@Zoe-dm1ch,2023-07-08T10:27:55Z,2023-07-08T10:27:55Z,0,This can be a life saver!👏🏼👏🏼👏🏼 My colleague just requested sth similar…will try when back in the office!🎊🎊🎊
@user-wx1ti7qo5z,2023-07-08T09:30:06Z,2023-07-08T09:30:06Z,0,"ok thanks so much on this explanation , as usual amazing work , and if i want to implement it on dashboard how can i proceed it"
@ganminghee4058,2023-07-08T03:35:45Z,2023-07-08T03:35:45Z,0,Does this work on pivot chart as well?
@gofor9196,2023-07-07T22:06:37Z,2023-07-07T22:06:37Z,0,"@LeilaGharani I hope you can really help me.<br>I have a csv file on excel and I have half-yearly data.<br>I want to have only yearly data so would you say I should cancel all the first half of the year data and keep the last one, or should I do like a merging of the two semesters?"
@Anisabell2,2023-07-07T22:06:15Z,2023-07-07T22:06:15Z,0,This is amazing!!!
@kenmcmillan2637,2023-07-07T16:54:55Z,2023-07-07T16:54:55Z,0,Brilliant!! I wish MS would hurry up and add these features to my 365!!
@manojitdey3323,2023-07-07T16:43:42Z,2023-07-07T16:43:42Z,0,i have a problem madam will u solve it? If C4=Holiday then merge cells C4:C10
@DavenneChua,2023-07-07T13:26:54Z,2023-07-07T13:26:54Z,0,Good job.
@AndreaUK1973,2023-07-07T13:08:06Z,2023-07-07T13:16:25Z,2,"Let me know what I think???? Well, my jaw has dropped on the floor with rest of my brain to start with! Sorry I need to replay this again!!! Tell ya all later!! Ow! Yeah You’re magical!!! Unbelievable!!!!!❤"
@hazemali382,2023-07-07T12:32:37Z,2023-07-07T12:32:37Z,0,if you please Leila share workbook  of  episode
@merwynfernandes9967,2023-07-07T11:57:42Z,2023-07-07T11:57:42Z,1,Excellent. Thanks for keeping us updated with the new features.
@srikapil6711,2023-07-07T11:56:47Z,2023-07-07T11:56:47Z,0,Hey Leila just wanted to check if we have any similar kind of arrayformula function of Google sheets in excel as that gives us an option to enter formula in one cell which populates values in multiple rows and columns..
@aicx40,2023-07-07T11:51:50Z,2023-07-07T11:51:50Z,0,Cool
@DrinkCola,2023-07-07T11:25:10Z,2023-07-07T11:25:10Z,1,can ChatGPT do this???
@johnborg5419,2023-07-07T09:08:03Z,2023-07-07T09:08:03Z,0,Thanks Leila  :)
@patrickbullesbach,2023-07-07T09:04:56Z,2023-07-07T09:04:56Z,0,Thank god this feature is finally coming to excel.
@hemvaidya,2023-07-07T03:49:09Z,2023-07-07T03:49:09Z,0,Thank you sincerely
@user-fg6pf2ox1i,2023-07-06T21:45:47Z,2023-07-06T21:45:47Z,0,"I have an excel file that I use for work, specifically car parks. The data I use are the following, license plate number, time of entry, time of exit, duration of stay, and based on these the price is calculated.<br>Sometimes I mistakenly click on the classification, as a result of which the numbers get confused, i.e. they get mixed up.  If I don&#39;t understand it right away to reverse it with undo, what options do I have?"
@nadermounir8228,2023-07-06T20:13:39Z,2023-07-06T20:13:39Z,0,Very nice video 📹 with bramd new informstion
@sulimanahmed8588,2023-07-06T19:20:10Z,2023-07-06T19:20:10Z,0,i like power query  but i feel the more data you have the quicker it would be to do it with formulas and creating everything yourself. especially with data sets that continually increase such as if you&#39;re tracking multiple KPI&#39;s for each month and adding all the data to an annual folder. I don&#39;t know if that can be helped though.
@vardansharma90,2023-07-06T18:59:47Z,2023-07-06T18:59:47Z,0,I lav ya
@user-jy7gy9sx8t,2023-07-06T18:48:58Z,2023-07-06T18:48:58Z,0,your example is so cluttered and keeps me from wanting to implement this.
@tristangeoffroy9286,2023-07-06T17:55:02Z,2023-09-03T09:00:23Z,0,"Thank you so much! I&#39;m going to use this right away; great tutorial. However, I&#39;ve noticed that when I add the flag field to pivot table, it displays &quot;image of country name...&quot; instead of the actual country flag image. Did I overlook a setting or option? Or it isn&#39;t yet GA for now?"
@etzfati,2023-07-06T17:49:46Z,2023-07-06T17:49:46Z,0,Great additions to Excel
@unoshashi,2023-07-06T17:11:45Z,2023-07-06T17:11:45Z,0,"Hi Leila, Is there a way to export or Link these table with custom formatting and images to PowerPoint? I Know it can be done as Image or entire workbook can be embedded but both are not desirable."
@rigobertogarcia,2023-07-06T16:35:26Z,2023-07-06T16:35:26Z,3,"Wow, awesome Leila. You have left some great ideas that can be turned into others that will give the business potential and a better form of control, in order to increase the efficiency of all its collaborators. Just great.<br>Thank you very much, Leila, for sharing such valuable information."
@goodboy6724,2023-07-06T16:24:30Z,2023-07-06T16:24:30Z,0,Thanks teacher👌👍👍 ❤❤
@kumarswamybalikatti66,2023-07-06T16:23:41Z,2023-07-06T16:23:41Z,1,Ma&#39;am what is advance excel is any course is available at your website.<br>Please let me know ma&#39;am.<br>Thank you.
@prachidugal6927,2023-07-06T16:17:25Z,2023-07-06T16:17:25Z,1,Excel seems so easy when you teach it step by step
@Donkeys_Dad_Adam,2023-07-06T16:12:40Z,2023-07-06T16:12:40Z,0,Brilliant!!
@mahathmasadineni2884,2023-07-06T14:39:03Z,2023-07-06T14:39:03Z,0,"This is amazing. Could you please help me out when I drag the flag into pivot table rows section. I am not getting the flag instead of that I am getting text like Image of India, Image of United States etc.."
@hi_vishy,2023-07-06T14:36:14Z,2023-07-06T14:36:14Z,0,Absolutely cool stuff
@yogibearstie,2023-07-06T14:08:40Z,2023-07-06T14:08:40Z,0,Looks like fun
@jheadley635,2023-07-06T14:05:42Z,2023-07-06T14:05:42Z,0,Interesting names...
@user-vx4cr3qi4f,2023-07-06T13:59:16Z,2023-07-06T13:59:16Z,0,这功能很实用
@RadeonArch2437,2023-07-06T13:09:36Z,2023-07-06T13:09:36Z,0,In excel 365 can we have ease of updating in web browser like we love on Google sheets.
@RadeonArch2437,2023-07-06T13:08:13Z,2023-07-06T13:08:13Z,0,Leila ji plz make more videos on google sheet features.
@MohamedEhbal,2023-07-06T12:51:02Z,2023-07-06T12:51:02Z,0,Magic
@luayabdelbaqi7566,2023-07-06T12:44:55Z,2023-07-06T12:44:55Z,0,"I always use dynamic tables and it works fine, and I never need (pivot T), is that ok? I mean, dynamic tables do almost everything"
@JJ_TheGreat,2023-07-06T11:42:43Z,2023-07-06T11:42:43Z,0,Walter White bought your courses for data analysis!!!
@bebyasvi5957,2023-07-06T11:23:18Z,2023-07-06T11:23:18Z,0,But only available for 365
@chrism9037,2023-07-06T11:15:03Z,2023-07-06T11:15:03Z,0,"So cool, thanks Leila.  Can&#39;t wait to get this feature!"
@vijayarjunwadkar,2023-07-06T10:56:53Z,2023-07-06T10:56:53Z,6,"That&#39;s amazing Leila! Really can&#39;t wait to have this soon, and as usual you did what you EXCEL at; your way of explaining in the most simple yet effective manner! No wonder, you won an award at Global Excel Summit for all your great work!  Keep growing!🙂"
@Bhavik_Khatri,2023-07-06T10:44:20Z,2023-07-06T10:44:20Z,0,"Wow, this is so cool. It feels like big lifeline to Pivot Tables."
@natsarev,2023-07-06T10:35:20Z,2023-07-06T10:35:20Z,6,"Ok, a little longer and we&#39;ll have power bi in Excel :)"
@abdulsaidmkamara7305,2023-07-06T10:29:43Z,2023-07-06T10:29:43Z,0,Excellent video Leila <br><br>I will add lot of value with custom DATA TYPES 😀 🎉
@YoussefTsun,2023-07-06T10:20:44Z,2023-07-06T10:20:44Z,0,"Very nice video, but a super tip at the end, thanks alot teacher"
@andrewcharlesmoss,2023-07-06T09:56:38Z,2023-07-06T09:57:20Z,1,"Very much a welcome addition, this!<br><br>With regards to data types, I just remembered they removed Wolfram Data Types on 11 June 2023."
@Birthday92sex,2023-07-06T09:50:40Z,2023-07-06T09:50:40Z,1,"Holy shit, I was just thinking about this yesterday!"
@mohanpal2737,2023-07-06T09:44:34Z,2023-07-06T09:44:34Z,0,Well updated.......
@RogerStocker,2023-07-06T09:38:53Z,2023-07-06T09:39:26Z,0,"My only comment would be...<br><a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=497"">https://youtu.be/WNrB1Q9Rry0?t=497</a>"
